nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
9,dichlorobis(2-aminopyridine)zinc,C10H12Cl2N4Zn,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0887-5.xml,
2,1-ethyl-3-methylimidazolium acetate,C8H14N2O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
3,1-ethyl-3-methylimidazolium dicyanamide,C8H11N5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
4,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C10H11N5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
5,1-ethyl-3-methylimidazolium methyl phosphonate,C7H15N2O3P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
6,1-ethyl-3-methylimidazolium ethyl sulfate,C8H16N2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
7,1-ethyl-3-methylimidazolium octyl sulfate,C14H28N2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
9,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C27H54F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
10,"1,3-dibutyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide",C13H21F6N3O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0889-3.xml,
1,nitric acid,HNO3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0904-8.xml,
2,hydrogen fluoride,FH,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0904-8.xml,
5,cesium nitrate,CsNO3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0904-8.xml,
6,potassium fluoride,FK,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0904-8.xml,
3,1-chloropentane,C5H11Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0902-x.xml,
